Duration (minutes),Count
15,39
20,3
25,2
30,158
35,3
40,2
45,34
48,1
49,1
50,14004
55,15
60,1032
65,1
70,34
75,24
80,1052
85,42
90,2102
100,54
105,47
109,2
110,6137
120,1234
130,1
135,18
140,51
150,297
165,31
169,1
170,1708
180,1547
185,18
190,15
195,14
200,33
210,155
230,261
240,520
260,2
270,22
290,40
300,58
310,1
320,3
330,16
340,8
350,21
360,73
375,1
390,37
410,19
420,206
450,94
470,6
480,1282
510,14
540,105
570,5
589,2
590,3
600,12
660,1
945,2
1370,20
1380,6
1410,5
