Room,Campus,Capacity,Room Type,Frequency,Occupancy,Utilization
2701_00_GU108,Bioquarter,262,Specialist Room,0.10410410410410413,0.45899525479678155,0.04778328978865395
2701_00_GU216,Bioquarter,150,Specialist Room,0.16146146146146148,0.7001754385964912,0.11305134959520925
2701_00_GU318,Bioquarter,96,Specialist Room,0.16281281281281276,0.6061769005847952,0.09869336624636328
2701_00_GU322,Bioquarter,48,Specialist Room,0.147997997997998,1.3269927536231887,0.19639227089408254
2701_01_FU222,Bioquarter,22,Specialist Room,0.09099099099099102,2.615702479338843,0.23800536073263354
2701_01_FU223,Bioquarter,22,Specialist Room,0.24684684684684685,1.0662177328843996,0.26319248541470763
2701_01_FU224,Bioquarter,22,Specialist Room,0.15785785785785786,1.0742232451093208,0.16957458033407397
2714_04_4-H1-003,Bioquarter,35,Classroom Style,0.0005973715651135006,3.142857142857143,0.001877453490356716
0208_00_G.8,Central,64,Lecture Theatre,0.21422222222222223,0.75390625,0.16150347222222222
0131_04_4.07,Central,110,Lecture Theatre,0.38128128128128147,0.7167711598746082,0.27329142622246083
0214_00_G.02,Central,40,Classroom Style,0.3950950950950953,0.5070000000000001,0.20031321321321335
0214_00_G.22,Central,18,Classroom Style,0.40680680680680675,0.8380281690140846,0.34091556345077473
0214_00_G.23,Central,10,Boardroom Style,0.15905905905905904,0.903448275862069,0.1437016326671499
0214_00_G.26,Central,12,Boardroom Style,0.23263263263263262,0.9732704402515723,0.22641446477924462
0214_01_1.01,Central,20,Classroom Style,0.38908908908908896,0.706081081081081,0.274728444660877
0214_01_1.10,Central,18,Classroom Style,0.4006006006006006,0.8041431261770243,0.3221402193153605
0214_01_1.22,Central,12,Boardroom Style,0.00880880880880881,1.0208333333333333,0.008992325658992325
0251_01_1.01,Central,28,Classroom Style,0.2658658658658659,0.8204081632653061,0.2181185266899553
0251_01_1.02,Central,28,Classroom Style,0.25535535535535536,0.8392857142857143,0.21431610181610183
0219_00_G.01,Central,16,Boardroom Style,0.32632632632632613,0.9441287878787878,0.3080940789274121
0219_00_G.02,Central,24,Classroom Style,0.28448448448448455,0.7541666666666669,0.2145487153820488
