AnonID,Programme,HolyroodGTEvents,TotalEvents,TransitionRecords
Student00001,Leadership and Learning (ICL) (MEd) - 2-6 Years (Year 2),3,3,3
Student00003,Inclusive Education (Deaf Learners) (ICL) (PgDip) 1 - 4 years (Year 1),10,12,10
Student00005,Leadership and Learning (ICL) (MEd) - 2-6 Years (Year 1),4,8,4
Student00008,Leadership and Learning (ICL) (MEd) - 2-6 Years (Year 1),4,8,4
Student00009,Leadership and Learning (ICL) (MEd) - 2-6 Years (Year 1),4,8,4
Student00011,Leadership and Learning (ICL) (MEd) - 2-6 Years (Year 1),4,8,4
Student00013,Professional Legal Practice (PgDip) (Full-time) (Year 1),3,98,3
Student00015,Inclusive Education (Visually Impaired Learners) (PgDip) (ICL) 1 - 4 years (Year 1),11,11,11
Student00017,Inclusive Education (Deaf Learners) (ICL) (PgDip) - 2-4 Years (Year 2),3,3,3
Student00018,Leadership and Learning (ICL) (MEd) - 2-6 Years (Year 1),4,8,4
Student00020,Psychological Therapies (ICL) (MSc) - 2-6 Years (Year 2),1,11,1
Student00021,Counselling (PgDip) - 3 Years (Part-time) (Year 2),5,7,19
Student00022,Leadership and Learning (ICL) (MEd) - 2-6 Years (Year 1),4,8,4
Student00023,Law (LLB Ord) (Graduate Entry) (Year 2),2,20,4
Student00024,Leadership and Learning (ICL) (MEd) - 2-6 Years (Year 1),4,8,4
Student00028,Leadership and Learning (ICL) (MEd) - 2-6 Years (Year 2),3,3,3
Student00029,Leadership and Learning (ICL) (MEd) - 2-6 Years (Year 7),3,3,3
Student00031,Primary Education PGDE (Year 1),96,146,119
Student00034,Leadership and Learning (ICL) (MEd) - 2-6 Years (Year 8),1,5,1
Student00036,Leadership and Learning (ICL) (MEd) - 2-6 Years (Year 1),4,8,4
Student00037,Secondary Education PGDE (History) (Year 1),18,18,62
Student00039,Leadership and Learning (ICL) (MEd) - 2-6 Years (Year 1),4,8,4
Student00042,Leadership and Learning (ICL) (MEd) - 2-6 Years (Year 5),3,3,3
Student00044,Psychotherapy and Counselling (DPsych) - 7 Years (Part-time) (Year 3),6,7,20
Student00046,Counselling (PgDip) - 3 Years (Part-time) (Year 3),6,7,21
