Event ID,Event Name,Event Size,Day,Timeslot,Duration,Original Room,Original Campus,New Room,New Room Capacity,New Campus,Capacity Waste,Tiered Waste,Original Room Type,New Room Type,Room Type Match
E:YIN64PAS9H,ELE - English for International Business Communication (EIBC) Group 1,14,Monday,Monday 11:00,110,0551_00_G36B,Holyrood,0003_00_G.03,18,Central,4,0,Classroom Style,Classroom Style,1
E:6WQY7DE2GC,OS - Understanding Poetry,16,Thursday,Thursday 18:30,110,0551_-1_LG49,Holyrood,0201_01_1.05,20,Central,4,0,Boardroom Style,Boardroom Style,1
E:MNGQSJ2Q1F,OS - Introduction to Scots Law,20,Thursday,Thursday 18:00,110,0551_-1_LG48,Holyrood,0401_01M_01M.19,38,New College,18,0,Boardroom Style,Boardroom Style,1
E:JFGLTCB5OA,OS - Talking Pictures,16,Wednesday,Wednesday 18:30,110,0551_-1_LG49,Holyrood,0201_00_G.05,20,Central,4,0,Boardroom Style,Boardroom Style,1
E:JTALZOOA7N,ELE - Academic English for Visiting Students 1 (AEVS 1) Group 1,14,Monday,Monday 09:00,110,0551_00_G36B,Holyrood,0254_01_1.04,16,Central,2,0,Classroom Style,Classroom Style,1
E:QE46F18NQC,ELE - Academic English for Visiting Students 1 (AEVS 1) Group 2,14,Monday,Monday 14:00,110,0551_00_G36B,Holyrood,0228_06_6.05,14,Central,0,0,Classroom Style,Boardroom Style,0
E:GQD1CNSCCY,OS - Screenwriting 1: An Introduction to Writing for Film and Television,16,Monday,Monday 18:30,110,0551_-1_LG47,Holyrood,0254_01_1.08,16,Central,0,0,Boardroom Style,Boardroom Style,1
E:6YKUVRXKXQ,ELE - English for International Business Communication (EIBC) Group 1,14,Thursday,Thursday 11:00,110,0551_00_G36B,Holyrood,0228_08_8.16,15,Central,1,0,Classroom Style,Boardroom Style,0
E:QTYI5K8YRR,ELE - Academic English for Visiting Students 1 (AEVS 1) Group 1,14,Tuesday,Tuesday 09:00,110,0551_00_G36B,Holyrood,0228_06_6.05,14,Central,0,0,Classroom Style,Boardroom Style,0
E:SEIT8G6IKX,OS - The Geomythography of Scotland,16,Tuesday,Tuesday 11:00,110,0551_-1_LG47,Holyrood,0201_00_G.07,194,Central,178,158,Boardroom Style,Lecture Theatre,0
E:QPJV2A8IZ1,OS - Writing Audio Drama for Radio and Podcasts,16,Wednesday,Wednesday 18:30,110,0551_-1M_M1,Holyrood,0228_-1_LG.06,35,Central,19,0,Classroom Style,Classroom Style,1
E:YIDZPEBUBD,ELE - Academic English for Visiting Students 1 (AEVS 1) Group 1,14,Thursday,Thursday 09:00,110,0551_00_G36B,Holyrood,0001_02_2.345,16,Central,2,0,Classroom Style,Boardroom Style,0
E:NKAFUGXVVV,OS - Existentialism,16,Thursday,Thursday 18:30,110,0551_-1_LG47,Holyrood,0103_01_1.B09,16,Central,0,0,Boardroom Style,Boardroom Style,1
E:EXNHDYST3K,IFP - FEAP Entry B,16,Tuesday,Tuesday 09:00,100,0551_-1_LG47,Holyrood,0001_01_1.266,24,Central,8,0,Boardroom Style,Boardroom Style,1
E:L8GA5VZKH6,OS - Classic and Modern European Cinema,16,Monday,Monday 18:30,110,0551_-1_LG49,Holyrood,0227_02_2.03,18,Central,2,0,Boardroom Style,Boardroom Style,1
E:WHTRQVHNHL,IFP - Reading English Literature A,20,Tuesday,Tuesday 09:00,80,0551_-1_LG48,Holyrood,0300_00_NG.02,36,Central,16,0,Boardroom Style,Classroom Style,0
E:5M2GYLAGH6,OS - A History of Edinburgh from Earliest Times to 1914,16,Wednesday,Wednesday 18:30,110,0551_-1_LG48,Holyrood,0228_11_11.01,16,Central,0,0,Boardroom Style,Boardroom Style,1
E:FAK732BUPV,ELE - Academic English for Visiting Students 1 (AEVS 1) Group 2,14,Tuesday,Tuesday 14:00,110,0551_00_G36B,Holyrood,0110_02_2.02,15,Central,1,0,Classroom Style,Boardroom Style,0
E:6T3AKB1KIF,IFP - Introducing Philosophy A,20,Tuesday,Tuesday 13:00,80,0551_-1M_M2,Holyrood,0201_00_G.06,193,Central,173,153,Boardroom Style,Lecture Theatre,0
E:PCSX6TU1VN,OS - Dark Fairy Tales,16,Wednesday,Wednesday 18:30,110,0551_00_G34,Holyrood,0113_00_G.14,26,Central,10,0,Boardroom Style,Boardroom Style,1
E:HQOC3OOLBG,IFP - Introducing Social Science B,20,Thursday,Thursday 13:00,80,0551_-1M_M2,Holyrood,0423_R_R.02B,27,Lauriston,7,0,Boardroom Style,Boardroom Style,1
E:4IONJRVKCY,Food and Society in Early Modern Europe,16,Thursday,Thursday 14:00,110,0551_-1_LG47,Holyrood,0001_01_1.274,22,Central,6,0,Boardroom Style,Boardroom Style,1
E:TGI4OTSS95,OS - Understanding Economics,20,Tuesday,Tuesday 18:00,110,0551_-1_LG48,Holyrood,0401_01M_01M.19,38,New College,18,0,Boardroom Style,Boardroom Style,1
E:GDQPTROMSI,IFP - FEAP Entry A,16,Monday,Monday 14:00,80,0551_-1_LG48,Holyrood,0003_00_G.01,20,Central,4,0,Boardroom Style,Classroom Style,0
E:KAW992WCTS,OS - Writing Creative Non-Fiction,16,Wednesday,Wednesday 18:30,110,0551_-1_LG46,Holyrood,0227_02_2.03,18,Central,2,0,Boardroom Style,Boardroom Style,1
E:JTLUUTCOHU,OS - The Art of 15th-Century Italy,18,Wednesday,Wednesday 11:00,110,0558_03_3.13,Holyrood,0228_06_6.11,24,Central,6,0,Classroom Style,Classroom Style,1
E:IQOCF2WH37,OS - A History of Scottish Art,16,Wednesday,Wednesday 11:00,110,0551_-1M_M14,Holyrood,0001_01_1.265,22,Central,6,0,Boardroom Style,Boardroom Style,1
E:FQIP57EEUE,ELE - English for International Business Communication (EIBC) Group 1,14,Tuesday,Tuesday 11:00,110,0551_00_G36B,Holyrood,0335_02_2.4,16,Central,2,0,Classroom Style,Classroom Style,1
E:4XFREXZ8Y7,IFP - FEAP Entry B,16,Monday,Monday 14:00,80,0551_-1_LG47,Holyrood,0423_O_O.17,78,Lauriston,62,42,Boardroom Style,Lecture Theatre,0
E:1E3HILALK2,OS - Poetry in Practice,16,Thursday,Thursday 11:00,110,0551_-1_LG47,Holyrood,0001_02_2.343,16,Central,0,0,Boardroom Style,Boardroom Style,1
E:6VP8T8GV4H,An Introduction to Archaeology,16,Monday,Monday 18:30,110,0551_01_1.27,Holyrood,0228_11_11.01,16,Central,0,0,Boardroom Style,Boardroom Style,1
E:4F9BNQN8TL,OS - Classics of French Literature,16,Wednesday,Wednesday 14:00,110,0551_-1_LG49,Holyrood,0254_01_1.03,16,Central,0,0,Boardroom Style,Boardroom Style,1
E:4VQV7JR5CS,OS - An Introduction to Psychology,20,Friday,Friday 14:00,120,0551_-1_LG48,Holyrood,0201_01_1.01,20,Central,0,0,Boardroom Style,Boardroom Style,1
E:HW1B1V6QTG,OS - Improve your Fiction,16,Tuesday,Tuesday 18:30,110,0551_-1_LG47,Holyrood,0201_01_1.05,20,Central,4,0,Boardroom Style,Boardroom Style,1
E:PNLM9S93XJ,IFP - FEAP Plus A,16,Wednesday,Wednesday 09:00,100,0551_00_G38,Holyrood,0001_02_2.351,16,Central,0,0,Boardroom Style,Boardroom Style,1
