Module Department,Module Code,Module Name,Event ID,Event Name,Event Type,Duration (minutes),Event Size,Timeslot,WholeClass,Online Delivery,Number of Weeks,Weeks,Room,Room type 2,Room Type 1,Building,Campus,Semester,Room Lock,Day,Hour,Minute,WeekList,EndHour
Business School,ACCN08009_SV1_SEM1_2024/5,Accountancy 2A,E:4BQTRUC7RH,Accountancy 2A - Tutorial/07,Tutorial,50,13,Tuesday 14:00,False,,9,"10, 11, 12, 13, 15, 16, 17, 18, 19",0551_-1_LG45,General Teaching,Centrally Allocated Space,Patersons Land,Holyrood,Semester 1,No,Tuesday,14,0,"[10, 11, 12, 13, 15, 16, 17, 18, 19]",14.833333333333334
Business School,ACCN08009_SV1_SEM1_2024/5,Accountancy 2A,E:81A6HRQKBX,Accountancy 2A - Lecture,Lecture,50,100,Tuesday 12:00,True,,10,"9, 10, 11, 12, 13, 15, 16, 17, 18, 19",0551_00_G1,General Teaching,Centrally Allocated Space,Patersons Land,Holyrood,Semester 1,No,Tuesday,12,0,"[9, 10, 11, 12, 13, 15, 16, 17, 18, 19]",12.833333333333334
Business School,BUST10160_SV1_SEM1_2024/5,Marketing & Climate Change,E:9YQCRCU4VO,Marketing & Climate Change - Lecture,Lecture,110,50,Friday 10:00,True,,6,"10, 11, 12, 13, 17, 18",0555_00_G.1,General Teaching,Centrally Allocated Space,Thomsons Land,Holyrood,Semester 1,No,Friday,10,0,"[10, 11, 12, 13, 17, 18]",11.833333333333334
Business School,BUST08027_SV1_SEM2_2024/5,Human Resource Management 2,E:9G2K3GEPX8,Human Resource Management 2 - Lecture,Lecture,110,150,Tuesday 15:00,True,,10,"26, 27, 28, 29, 30, 32, 33, 34, 35, 36",0591_-1_B1.11,General Teaching,Centrally Allocated Space,Outreach Centre,Holyrood,Semester 2,No,Tuesday,15,0,"[26, 27, 28, 29, 30, 32, 33, 34, 35, 36]",16.833333333333332
Business School,ACCN08009_SV1_SEM1_2024/5,Accountancy 2A,E:XWLYEHJLTW,Accountancy 2A - Lecture,Lecture,50,100,Monday 11:00,True,,3,"15, 16, 18",0555_00_G.1,General Teaching,Centrally Allocated Space,Thomsons Land,Holyrood,Semester 1,No,Monday,11,0,"[15, 16, 18]",11.833333333333334
Business School,BUST10160_SV1_SEM1_2024/5,Marketing & Climate Change,E:PIBAJ9QR4U,Marketing & Climate Change - Lecture,Lecture,110,50,Friday 10:00,True,,3,"9, 15, 16",0551_-1_LG34,General Teaching,Centrally Allocated Space,Patersons Land,Holyrood,Semester 1,No,Friday,10,0,"[9, 15, 16]",11.833333333333334
Business School,BUST10162_SV1_SEM2_2024/5,Crisis Management for Organisations,E:M71Q2DD3CB,Crisis Management for Organisations - Lecture,Lecture,120,100,Wednesday 10:00,True,,9,"26, 27, 28, 29, 30, 32, 34, 35, 36",0551_00_G1,General Teaching,Centrally Allocated Space,Patersons Land,Holyrood,Semester 2,No,Wednesday,10,0,"[26, 27, 28, 29, 30, 32, 34, 35, 36]",12.0
Centre for Open Learning,COL_MISC_2024/5,COL MISC,E:77VOOL21VA,An Introduction to Scottish Literature: The Literature of Edinburgh,Activity,110,16,Wednesday 11:00,False,,10,"10, 11, 12, 13, 14, 15, 16, 17, 18, 19",0551_-1_LG47,General Teaching,Centrally Allocated Space,Patersons Land,Holyrood,Semester 1,No,Wednesday,11,0,"[10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",12.833333333333334
Centre for Open Learning,AACE07004_SS1_SEM2_2024/5,Access Social Sciences 2,E:ABFDPRG7CU,Access Social Science 2/03,Activity,150,20,Thursday 10:00,False,,18,"25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42",0551_-1_LG48,General Teaching,Centrally Allocated Space,Patersons Land,Holyrood,Semester 2,No,Thursday,10,0,"[25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42]",12.5
Centre for Open Learning,LLLG07128_SS1_LLL2_2024/5,Foundation English for Academic Purposes 2 Entry,E:D9BZYRIUXP,IFP - FEAP Entry B,Activity,80,16,Thursday 13:00,False,,11,"25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35",0551_-1_LG47,General Teaching,Centrally Allocated Space,Patersons Land,Holyrood,Semester 2,No,Thursday,13,0,"[25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35]",14.333333333333334
Centre for Open Learning,COL_ELE_2024/5,COL English Language,E:57ZP1KFQCQ,ELE - Academic English for Visiting Students 1 (AEVS 1) Group 2,Activity,110,14,Thursday 14:00,False,,10,"10, 11, 12, 13, 14, 15, 16, 17, 18, 19",0551_00_G36B,General Teaching,Centrally Allocated Space,Patersons Land,Holyrood,Semester 1,No,Thursday,14,0,"[10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",15.833333333333334
Centre for Open Learning,LLLG07127_SS1_LLL1_2024/5,Foundation English for Academic Purposes 1 Plus,E:MZ1R5JFY91,IFP - FEAP Plus A,Activity,100,16,Tuesday 09:00,False,,11,"9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19",0551_00_G38,General Teaching,Centrally Allocated Space,Patersons Land,Holyrood,Semester 1,No,Tuesday,9,0,"[9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",10.666666666666666
Centre for Open Learning,COL_SC_2024/5,COL Short Courses,E:OOR8FHWZI1,OS - Short Story Writing,Activity,100,16,Thursday 14:00,False,,10,"10, 11, 12, 13, 14, 15, 16, 17, 18, 19",0551_-1_LG49,General Teaching,Centrally Allocated Space,Patersons Land,Holyrood,Semester 1,No,Thursday,14,0,"[10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",15.666666666666666
Centre for Open Learning,COL_SC_2024/5,COL Short Courses,E:ARLNVWRAOJ,OS - Looking at Portraits: from Augustus to Rembrandt,Activity,110,16,Thursday 11:00,False,,10,"10, 11, 12, 13, 14, 15, 16, 17, 18, 19",0551_00_G34,General Teaching,Centrally Allocated Space,Patersons Land,Holyrood,Semester 1,No,Thursday,11,0,"[10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",12.833333333333334
Centre for Open Learning,LLLO07003_SV1_SEM1_2024/5,British Sign Language Stage 1,E:9BBQQ2YAET,British Sign Language Stage 1/01,Activity,110,15,Tuesday 14:00,False,,11,"9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19",0551_00_G35,General Teaching,Centrally Allocated Space,Patersons Land,Holyrood,Semester 1,No,Tuesday,14,0,"[9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",15.833333333333334
Centre for Open Learning,LLLO07004_SV1_SEM2_2024/5,British Sign Language Stage 2,E:WJ46CUGD6A,British Sign Language Stage 2/02,Activity,110,15,Thursday 14:00,False,,4,"33, 34, 35, 36",0551_01_1.27,General Teaching,Centrally Allocated Space,Patersons Land,Holyrood,Semester 2,No,Thursday,14,0,"[33, 34, 35, 36]",15.833333333333334
Centre for Open Learning,LLLO07004_SV1_SEM2_2024/5,British Sign Language Stage 2,E:X222YVWNOE,British Sign Language Stage 2/01,Activity,110,15,Wednesday 14:00,False,,11,"26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36",0551_00_G35,General Teaching,Centrally Allocated Space,Patersons Land,Holyrood,Semester 2,No,Wednesday,14,0,"[26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36]",15.833333333333334
Moray House School of Education and Sport,EDUA11419_SV1_SEM1_2024/5,"Languages, Society and Education",E:EAO213UP6H,"Languages, Society And Education - Workshop/05",Workshop,110,25,Thursday 11:00,False,,8,"10, 11, 12, 13, 14, 16, 17, 18",0558_04_4.20,General Teaching,Centrally Allocated Space,Charteris Land,Holyrood,Semester 1,No,Thursday,11,0,"[10, 11, 12, 13, 14, 16, 17, 18]",12.833333333333334
Centre for Open Learning,LLLO07003_SV1_SEM1_2024/5,British Sign Language Stage 1,E:D96W7213WM,British Sign Language Stage 1/01,Activity,110,16,Monday 14:00,False,,11,"9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19",0551_00_G35,General Teaching,Centrally Allocated Space,Patersons Land,Holyrood,Semester 1,No,Monday,14,0,"[9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",15.833333333333334
Centre for Open Learning,LLLO07004_SV1_SEM2_2024/5,British Sign Language Stage 2,E:L4QCO1ZLBI,British Sign Language Stage 2/02,Activity,110,15,Tuesday 14:00,False,,4,"33, 34, 35, 36",0551_-1_LG49,General Teaching,Centrally Allocated Space,Patersons Land,Holyrood,Semester 2,No,Tuesday,14,0,"[33, 34, 35, 36]",15.833333333333334
Centre for Open Learning,LLLG07129_SS1_LLL2_2024/5,Foundation English for Academic Purposes 2 Plus,E:UIW2DRDIHE,IFP - FEAP Plus C,Activity,80,16,Thursday 13:00,False,,11,"25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35",0551_-1M_M1,General Teaching,Centrally Allocated Space,Patersons Land,Holyrood,Semester 2,No,Thursday,13,0,"[25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35]",14.333333333333334
Centre for Open Learning,COL_L4A_2024/5,COL Languages for All,E:OYD1ICIAWK,LfA - Italian Intermediate Step 6,Activity,90,14,Thursday 14:00,False,,10,"11, 12, 13, 14, 15, 16, 17, 18, 19, 20",0551_-1M_M1,General Teaching,Centrally Allocated Space,Patersons Land,Holyrood,Semester 1,No,Thursday,14,0,"[11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",15.5
Centre for Open Learning,LLLO07003_SV1_SEM1_2024/5,British Sign Language Stage 1,E:9BBQQ2YAET-00001,British Sign Language Stage 1/01,Activity,110,15,Tuesday 16:00,False,,11,"9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19",0551_00_G35,General Teaching,Centrally Allocated Space,Patersons Land,Holyrood,Semester 1,No,Tuesday,16,0,"[9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",17.833333333333332
Centre for Open Learning,LLLG07129_SS1_LLL2_2024/5,Foundation English for Academic Purposes 2 Plus,E:H1T2T2J5HQ,IFP - FEAP Plus D,Activity,80,16,Thursday 13:00,False,,11,"25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35",0551_00_G34,General Teaching,Centrally Allocated Space,Patersons Land,Holyrood,Semester 2,No,Thursday,13,0,"[25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35]",14.333333333333334
Centre for Open Learning,"COL_IFP_2024/5, LLLJ07024_SS1_LLL1_2024/5","COL International, Introduction to Social Science",E:5WSTFX2UQX,IFP - Introducing Social Science A,Activity,80,20,Thursday 11:00,False,,11,"9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19",0551_-1M_M2,General Teaching,Centrally Allocated Space,Patersons Land,Holyrood,Semester 1,No,Thursday,11,0,"[9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",12.333333333333334
Centre for Open Learning,LLLO07004_SV1_SEM2_2024/5,British Sign Language Stage 2,E:DD3WQM7OAX,British Sign Language Stage 2/02,Activity,110,15,Tuesday 14:00,False,,7,"26, 27, 28, 29, 30, 31, 32",0551_00_G35,General Teaching,Centrally Allocated Space,Patersons Land,Holyrood,Semester 2,No,Tuesday,14,0,"[26, 27, 28, 29, 30, 31, 32]",15.833333333333334
Centre for Open Learning,COL_L4A_2024/5,COL Languages for All,E:5K3M4KSLFX,LfA - British Sign Language Elementary Step 1,Activity,90,15,Tuesday 11:00,False,,10,"11, 12, 13, 14, 15, 16, 17, 18, 19, 20",0551_00_G35,General Teaching,Centrally Allocated Space,Patersons Land,Holyrood,Semester 1,No,Tuesday,11,0,"[11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",12.5
Centre for Open Learning,LLLO07003_SV1_SEM1_2024/5,British Sign Language Stage 1,E:35KDI5VTHA,British Sign Language Stage 1/02,Activity,110,15,Thursday 14:00,False,,11,"9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19",0551_00_G35,General Teaching,Centrally Allocated Space,Patersons Land,Holyrood,Semester 1,No,Thursday,14,0,"[9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",15.833333333333334
Centre for Open Learning,COL_L4A_2024/5,COL Languages for All,E:RYVH823MJW,LfA - Japanese Beginners Step 1,Activity,90,14,Tuesday 11:00,False,,10,"11, 12, 13, 14, 15, 16, 17, 18, 19, 20",0551_-1_LG46,General Teaching,Centrally Allocated Space,Patersons Land,Holyrood,Semester 1,No,Tuesday,11,0,"[11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",12.5
